Id,Author,mod_title,Genre,Comment
367-67,Der Stricker,Der Hort,Maere,
,,Der Hund am Wasser,Bispel,
367-101,Der Stricker,Der Hund und der Stein,Fabel,
367-37,Der Stricker,Der Juden Abgott,Bispel,
367-35,Der Stricker,Der junge Baum,Maere,
367-39,Der Stricker,Der junge Ratgeber,Maere,
,Konrad von Haslau,Der Jüngling,Maere,
367-29,Der Stricker,Der Käfer im Rosenhaus,Fabel,
367-32,Der Stricker,Der Kater als Freier,Fabel,
367-52,Der Stricker,Der Kirchtag,Bispel,
,Meister Altswert,Der Kittel,Minnerede,
367-f127k,Der Stricker,Der kluge Knecht,Maere,
,,Der Knappe und die Frau,Maere,
,Hans Rosenplüt,Der Knecht im Garten,Maere,
367-90,Der Stricker,Der Knecht in Herrenkleidern,Maere,
,–,Der König im Bad,Maere,
367-164,Der Stricker,Der König und sein Feind,Maere,
,,Der Kornkäfer,Fabel,
367-54,Der Stricker,Der Krämer,Maere,
,,Der Krautgarten,Maere,
,,Der Krebs und sein Kind,Fabel,
,,Der Landstricher im Freudenhaus,Maere,
,,Der Liebende vor Frau Ehre,Minnerede,
,Gozold,Der Liebesbrief,Minnerede,
,,Der Löwe und die Geiß,Fabel,
,–,Der Löwe und die Maus,Fabel,
,,Der Löwe und sein Sohn,Fabel,
,–,Der Magezoge,Maere,
,,Der Maienkranz,Minnerede,
,,Der Mantel,Maere,
367-103,Der Stricker,Der Marktdieb,Maere,
,–,Der milde König,Maere,
,,Der minne Gericht,Minnerede,
,,Der Minne Gericht III,Minnerede,
,Perchtolt,Der Minne Klaffer,Minnerede,
,,Der minne Klaffer,Minnerede,
,–,Der Minne Kraft,Minnerede,
,Konrad Harder,Der Minne Lehen,Minnerede,
,–,Der Minne Porten,Minnerede,
,,Der Minne Regel,Minnerede,
,,Der Minnegerende,Minnerede,
,,Der Minnegerende,Minnerede,
,,Der minnenden Zwist und Versöhnung,Minnerede,
,,Der Minner im Garten,Minnerede,
,,Der Minner und der Kriegsmann,Minnerede,
,,Der Mönch als Liebesbote,Maere,
,–,Der Mönch als Liebesbote A,Maere,
,,Der Müller und sein Sohn,Maere,
,,Der nächste Weg zum Himmel,Religious,
367-84,Der Stricker,Der nackte Bote,Maere,
,Herrand von Wildonie,Der nackte Kaiser,Maere,
367-85,Der Stricker,Der nackte Ritter,Maere,
367-89,Der Stricker,Der Ochse und die Maus,Fabel,
367-143,Der Stricker,Der Opfertod Christi des Königs,Religious,
368,Der Stricker,Der Pfaffe Amis,Maere,
,,Der Pfaffe in der Fischreuse,Maere,
,Heinrich von Pforzen,Der Pfaffe in der Reuse,Maere,
367-108,Der Stricker,Der Pfaffen Leben,Maere,
,,Der Pfau und der Esel,Fabel,
,,Der Prozess im Himmel,Maere,
367-93,Der Stricker,Der Rabe mit den Pfauenfedern,Fabel,
,,Der Reiher,Maere,
,,Der Reiterorden,Maere,
,,Der Renner,Moral,
367-126,Der Stricker,Der Richter und der Teufel,Maere,
,,Der Ritter im Hemd,Maere,
,,Der Ritter im Hemde,Maere,
,–,Der Ritter in der Kapelle,Maere,
,,Der Ritter mit den Nüssen,Maere,
,,Der Ritter und der Teufel,Maere,
,Ehrenfreund,Der Ritter und Maria,Maere,
,Jakob Appet,Der Ritter unter dem Zuber,Maere,
,–,Der Rosendorn (I),Minnerede,
,–,Der rote Mund,Minnerede,
367-1,Der Stricker,Der Salamander,Bispel,
367-40,Der Stricker,Der Schalk und die beiden Könige,Bispel,
,–,Der schlaflose Minner,Minnerede,
,Rüdiger der Hünkhofer,Der Schlegel,Maere,
,–,Der Schüler von Paris  C,Maere,
,–,Der Schüler von Paris B,Maere,
,,Der Schüler zu Paris A,Maere,
,–,Der schwangere Müller,Maere,
,Konrad von Würzburg,Der Schwanritter,Maere,
,,Der schwere Traum,Minnerede,
,–,Der Seele Kranz,Religious,
,,Der Sohn des Bürgers,Maere,
,,Der Spalt in der Wand,Maere,
,,Der Sperber,Maere,
,–,Der Spiegel,Maere,
,Elsässischer Anonymus,Der Streit um Eppes Axt,Maere,
,–,Der Striegel,Maere,
,,Der Student von Prag,Maere,
367-94,Der Stricker,Der Sünder und der Einsiedel,Maere,
367-133,Der Stricker,Der Taugenichts,Maere,
367-14,Der Stricker,Der Teufel und die Seele,Maere,
,,Der Thron der Ehre,Minnerede,
367-96,Der Stricker,Der Tor und das Feuer,Maere,
,,Der Traum,Minnerede,
,,Der Traum am Feuer,Minnerede,
,–,Der Traum von der Liebe,Minnerede,
,–,Der treue Liebhaber,Minnerede,
,–,Der Tropfen auf dem Stein,Minnerede,
,,Der tugenden Schatz,Didaktik,
367-159,Der Stricker,Der Turse,Maere,
,,Der umgekehrte Wagen,Minnerede,
,Der Stricker,Der unbelehrbare Zecher,Bispel,
,,Der unentschlossene Minner,Minnerede,
,,Der unentwegte Liebhaber,Minnerede,
367-34,Der Stricker,Der unfruchtbare Baum,Bispel,
367-120,Der Stricker,Der ungeratene Sohn,Bispel,
367-56,Der Stricker,Der verflogene Falke,Bispel,
,,Der Vogel und der Sperber,Fabel,
367-149,Der Stricker,Der wahre Freund,Bispel,
367-62,Der Stricker,Der Waldschrat,Maere,
,,Der warnende Ehemann,Maere,
,,Der Wechsler und sein Sohn,Maere,
,,Der Weiber Kleiderpracht,Minnerede,
367-7,Der Stricker,Der Weidemann,Maere,
,Konrad von Würzburg,Der Welt Lohn,Maere,
,Peter Suchenwirt,Der Widerteil,Maere,
,Der Freudenleere,Der Wiener Meerfahrt,Maere,
,–,Der Wirt der Seele,Maere,
,,Der Wolf als Zeuge,Fabel,
,–,Der Wolf an der Wiege,Fabel,
,,Der Wolf in der Schule,Bispel,
367-47,Der Stricker,Der Wolf und das Weib,Fabel,
367-50,Der Stricker,Der Wolf und der Bauer,Fabel,
,–,Der Wolf und der Kranich,Fabel,
